Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
active ai,Technology,Bangalore,68.47,Private Equity,Vertex Ventures,2017,November,Enterprise / Saas,Bangalore,Karnataka,India,11,6,2017-11-06,3,2017,6515.5,Bangalore | Enterprise / Saas,1168.14,22.0,44.82,1732.52,45.0,25.32,0,0,0,0,0,0
activeai,Technology,Singapore,4.15,Seed,Kalaari Capital Accelerator Program,2016,May,Enterprise / Saas,Nan,Nan,Singapore,5,1,2016-05-01,1,2016,68.47,Singapore | Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
activeai,Technology,Singapore,24.9,Private Equity,"Idg Ventures India, Kalaari Capital",2016,November,Enterprise / Saas,Nan,Nan,Singapore,11,24,2016-11-24,3,2016,4.15,Singapore | Enterprise / Saas,4.15,1.0,4.15,4.15,1.0,4.15,0,0,0,0,0,0
actofit,Technology,Mumbai,6.22,Private Equity,Next Orbit Ventures Fund,2016,October,Enterprise / Saas,Mumbai,Maharashtra,India,10,23,2016-10-23,3,2016,29.05,Mumbai | Enterprise / Saas,1232.55,12.0,12.45,1716.43,22.0,10.54,0,0,0,0,0,0
actonmagic,Technology,Bangalore,1.04,Seed,Jayabalan Subramanian,2016,February,Enterprise / Saas,Bangalore,Karnataka,India,2,10,2016-02-10,4,2015,6.22,Bangalore | Enterprise / Saas,585.38,17.0,7.47,631.45,19.0,8.3,0,0,0,0,0,0
actyvai,Computer Software,Bangalore,41.5,Pre-Series A,1Digi Investment Maunknowngement,2022,February,Enterprise / Saas,Bangalore,Karnataka,India,2,1,2022-02-01,4,2021,1.04,Bangalore | Enterprise / Saas,21595.23,75.0,24.9,34728.03,126.0,24.9,0,0,0,0,0,0
ad2pro,Technology,Chennai,80.51,Debt,Avendus Fiunknownnce Pvt. Ltd,2018,March,Enterprise / Saas,Chennai,Tamil Nadu,India,3,22,2018-03-22,4,2017,41.5,Chennai | Enterprise / Saas,172.33,8.0,14.61,464.25,18.0,14.61,0,0,0,0,0,0
adda247,Edtech,Gurgaon,166.0,Series B,Westbridge Capital,2021,November,Enterprise / Saas,Gurgaon,Haryana,India,11,9,2021-11-09,3,2021,80.51,Gurgaon | Enterprise / Saas,2966.5,27.0,29.46,3504.34,38.0,23.03,0,0,0,0,0,0
address health,Healthcare,Bangalore,12.45,Private Equity,Gray Matters Capital,2016,May,Healthtech,Bangalore,Karnataka,India,5,7,2016-05-07,1,2016,166.0,Bangalore | Healthtech,580.37,8.0,43.45,580.37,8.0,43.45,0,0,0,0,0,0
addverb,Industrial Automation,Noida,1095.6,Unknown,Reliance,2022,January,Mobility / Automotive / Ev,Noida,Uttar Pradesh,India,1,23,2022-01-23,4,2021,12.45,Noida | Mobility / Automotive / Ev,58.1,1.0,58.1,58.1,1.0,58.1,0,0,0,0,0,0
