Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
kindlifein,Beauty Wellness And Health,Delhi,66.4,Series A,"Jbunknowndooeun, Tk Fund, Mixi Global Investments, Kalaari Capital And Angel Investors",2024,August,HealthTech,Delhi,Delhi,India
bluebinaries engineering and,Engineering,Chennai,60.0,Debt + Equity,Anicut Capital,2024,August,Others,Chennai,Tamil Nadu,India
punch,Stock Broking,Mumbai,58.1,Seed,"Stellaris Venture Partners, Susquehanunknown Asia Vc, Prime Venture Partners, Innoven Capital",2024,August,Others,Mumbai,Maharashtra,India
metadomeai,Xr,Troy,53.95,Series A,"Siaunknown Capital, Chiratae Ventures, Alteria Capital, 3Tounknown1 Capital, Manish Choksi’S Family Office",2024,August,Others,Troy,Michigan,USA
ethrealx,Healthcare,Bangalore,41.5,Seed,"Yournest, Big Global Investments Jsc, Bluehill Capital, Campus Fund, Golden Sparrow Ventures",2024,August,HealthTech,Bangalore,Karnataka,India
sigtuple medtech,Medtech,Bangalore,33.0,Series C,Sidbi Venture Capital,2024,August,HealthTech,Bangalore,Karnataka,India
aukera,Labgrown Jewellery,Bangalore,26.7,Series A,Fireside Ventures,2024,August,Others,Bangalore,Karnataka,India
juleo,Dating,Delhi,20.75,Unspecified Round,"Ramakant Sharma, Kuunknownl Shah, Ruchi Deepak, Harsh Jain, Lalit Keshre",2024,August,Others,Delhi,Delhi,India
neuron energy,Ev Batteries,Mumbai,20.0,Series A,"Chounknown Family, Capri Global Family Office",2024,August,Mobility / Automotive / EV,Mumbai,Maharashtra,India
finqy,Fintech,Mumbai,16.6,Unspecified Round,"Angel Bay India Accelerator, Family Offices, Private Investors",2024,August,FinTech,Mumbai,Maharashtra,India
hyperbots,AI,Dover,16.6,Seed,"Kalaari Capital, Sunicon Ventures, Athera Venture Partners",2024,August,Artificial Intelligence,Dover,Delaware,USA
burma burma,Vegan Restaurant,Mumbai,16.6,Equity,Several Family Offices,2024,August,FoodTech,Mumbai,Maharashtra,India
karma primary healthcare,Healthcare,Udaipur,11.0,Series A,"Ubs Optimus Foundation, 1Crowd, Others",2024,August,HealthTech,Udaipur,Rajasthan,India
bebe burp,Baby Food,Surat,8.0,Pre-Series A,Gruhas Collective Consumer Fund (Gccf),2024,August,FoodTech,Surat,Gujarat,India
cellivate,Biotech,Singapore,8.3,Seed,"Antler, Venture Catalysts, Hatcher+, We Founder Circle",2024,August,Enterprise / SaaS,,,Singapore
curryit,Food,Delhi,4.5,Seed,"Rk Family Trust, Tangent Advisors, Freeflow Ventures",2024,August,FoodTech,Delhi,Delhi,India
ippopay,Fintech,Chennai,4.5,Unspecified Round,"Mithun Sacheti, Siddhartha Sacheti",2024,August,FinTech,Chennai,Tamil Nadu,India
nazara,Gaming Media,Mumbai,224.1,Acquisition,Acquired Fusebox Games Limited,2024,August,HealthTech,Mumbai,Maharashtra,India
infibeam avenues,Fintech,Gift,224.1,Acquisition,Acquired 54% In Rediff.Com India Ltd,2024,August,FinTech,,,
unicommerce,SaaS,Delhi,124.5,Unknown,Anchor Investors,2024,August,Enterprise / SaaS,Delhi,Delhi,India
banana club,Consumer > Fashion,Karnataka,11.54,Seed,Unknown,2025,October,Consumer Internet,,Karnataka,India
neulife,Healthcare,Maharashtra,8.3,Unknown,Subhkam Ventures,2025,October,HealthTech,,Maharashtra,India
dhobi g,Consumer > Local,Tamil Nadu,1.42,Debt,Indian Overseas Bank,2025,October,Consumer Internet,,Tamil Nadu,India
helex,Life Sciences > Genomics,Telangana,1.4193,Seed,Bluehill Capital Trust,2025,October,BioTech,,Telangana,India
michezo sports,Consumer > Sports,Karnataka,20.75,Seed,Centre Court Capital,2025,October,Consumer Internet,,Karnataka,India
celewish,Consumer > Communication,Maharashtra,6.22,Angel,Unknown,2025,October,Consumer Internet,,Maharashtra,India
megaliter varunaa,Environment > Waste & Water Management,Telangana,14.19,Seed,Unknown,2025,October,Others,,Telangana,India
the eye foundation,Healthcare,Tamil Nadu,622.5,Series C,Verlinvest,2025,October,HealthTech,,Tamil Nadu,India
wonderland foods,Food & Agriculture > Food & Beverage Products,Delhi,132.8,Series B,Asha,2025,October,AgriTech,Delhi,Delhi,India
capitalxb finance,Fintech,Maharashtra,132.8,Debt,Nicolas Walewski,2025,October,FinTech,,Maharashtra,India
capitalxb finance,Fintech,Maharashtra,124.5,Seed,Nicolas Walewski,2025,October,FinTech,,Maharashtra,India
berar finance,Fintech,Maharashtra,141.1,Private Equity,Abler Nordic,2025,October,FinTech,,Maharashtra,India
uniphore,High > Generative Ai,Usa,2158.0,Series F,New Enterprise Associates,2025,October,Artificial Intelligence,,,USA
umagine,Environment > Environment Consultancy,Delhi,7.05,Seed,Venture Catalysts,2025,October,Others,Delhi,Delhi,India
stylox,Consumer Goods > Apparel,Haryana,2.82,Seed,Thefef.Net,2025,October,Consumer Internet,,Haryana,India
fundamento,Enterprise Applications > Customer Software,Usa,15.77,Seed,The Players Fund,2025,October,Enterprise / SaaS,,,USA
imagimake,Retail > Mom & Baby Care,Maharashtra,15.77,Series B,Pidilite Ventures,2025,October,Ecommerce / Retail,,Maharashtra,India
eka,Energy > Electric Vehicles,Maharashtra,473.1,Series A,Niif,2025,October,Mobility / Automotive / EV,,Maharashtra,India
hooliv,Consumer > Residential Real Estate,Delhi,22.66,Seed,Negen Capital Pms,2025,October,Consumer Internet,Delhi,Delhi,India
healing hands clinic,Healthcare,Maharashtra,22.659,Private Equity,L Catterton,2025,October,HealthTech,,Maharashtra,India
kraya,Enterprise Applications > Scm Software,Maharashtra,0.94,Seed,Aid,2025,October,Enterprise / SaaS,,Maharashtra,India
zepto,Food,Karnataka,2490.0,Series G,Goodwater Capital,2025,October,FoodTech,,Karnataka,India
dashamlabs,High > Advanced Materials,Haryana,11.29,Seed,Speciale Invest,2025,October,DeepTech / Hardware,,Haryana,India
kuku fm,Consumer > Vernacular,Maharashtra,415.0,Series C,Granite Asia,2025,October,Consumer Internet,,Maharashtra,India
corestack,Enterprise Infrastructure > It Operations,Washington,415.0,Debt,Post Road Group,2025,October,Enterprise / SaaS,Washington,District of Columbia,USA
thefragaria,Agritech,Tamil Nadu,16.6,Seed,Weh Ventures,2025,October,AgriTech,,Tamil Nadu,India
flowatt batt,Energy > Energy Storage,Karnataka,2.06,Seed,Pedalstart,2025,October,Climate / CleanTech / Energy,,Karnataka,India
coindcx,Fintech > Cryptocurrencies,Maharashtra,2.0584,Series D,Coinbase,2025,October,FinTech,,Maharashtra,India
matters,Enterprise Infrastructure > Cybersecurity,Karnataka,39.42,Seed,Kalaari Capital,2025,October,Enterprise / SaaS,,Karnataka,India
airoclip,Mobile > Mobile Gaming,Karnataka,22.82,Seed,Tac,2025,October,Others,,Karnataka,India
airbound,High > Drones,Karnataka,71.8,Seed,Humba Ventures,2025,October,Others,,Karnataka,India
cimcon,Energy > Oilfield,Gujarat,48.64,Series A,Niveshaay,2025,October,Climate / CleanTech / Energy,,Gujarat,India
houseeazy,Consumer > Residential Real Estate,Uttar Pradesh,141.1,Series B,Accel,2025,October,Consumer Internet,,Uttar Pradesh,India
speakx,Edtech > Continued Learning,Haryana,132.8,Series B,Westbridge Capital,2025,October,EdTech,,Haryana,India
reia diamonds,Consumer Goods > Fashion Accessories,Karnataka,1.87,Seed,Venture Catalysts,2025,October,Consumer Internet,,Karnataka,India
mywonder,Real Estate & Construction > Construction Management,Karnataka,2.49,Seed,Antler,2025,October,Real Estate / PropTech,,Karnataka,India
ramkrishna forgings,Auto > Auto Components,West Bengal,191.73,IPO,Unknown,2025,October,Mobility / Automotive / EV,,West Bengal,India
exposome,Chemicals & Materials > Chemicals,Maharashtra,21.5,Seed,Colossa Ventures,2025,October,DeepTech / Hardware,,Maharashtra,India
goodscore,Fintech,Karnataka,107.9,Series A,Peak Xv Partners,2025,October,FinTech,,Karnataka,India
