Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
true north,Fintech,Mumbai,4980.0,Private Equity,Unknown,2018,August
biryani by kilo,Consumer Internet,Gurgaon,8.3,Other,Ajay Relan And Viunknowny Mittal,2018,July
anchanto,It,Pune,33.2,Private Equity,"Mdi Ventures, Telkom Indonesia",2018,July
policy bazaar,Consumer Internet,Gurgaon,229.91,Private Equity,Info Edge (India) Ltd And Temasek,2018,July
zippserv,Consumer Internet,Bangalore,3.65,Other,Info Edge (India) Ltd,2018,July
groww,Consumer Internet,Bangalore,9.13,Other,"Insignia Ventures Partners, Lightbridge Partners, Kairos",2018,July
avenue growth,Consumer Internet,Gurgaon,3.63,Other,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik, Others",2018,July
kinara capital,Fintech,Bangalore,41.5,Private Equity,Responsability,2018,July
shop 101,Consumer Internet,Mumbai,41.5,Private Equity,"Stellaris Venture Partners, Vy Capital, Raghuunknownndan G, And Ramakant Sharma",2018,July
sambandh,Consumer Internet,Rourkela,20.75,Private Equity,Base Of Pyramid Asia (Bopa) Pte Ltd,2018,July
19th mile,It,Gurgaon,1.49,Other,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta And Others",2018,July
5th vital,Healthcare,Bangalore,4.15,Other,Brand Capital And Others,2018,July
mengage,Healthcare,Jaipur,1.45,Other,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Counknownfounders Lab And Others.",2018,July
ofbusiness,Fintech,Gurgaon,240.7,Private Equity,"Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital",2018,July
cars24,Consumer Internet,Gurgaon,412.51,Private Equity,"Kingsway Fci Fund, Kck Global, Others",2018,July
the ken,Consumer Internet,Bangalore,12.45,Other,"Omidyar Network, Others",2018,July
book my show,Consumer Internet,Mumbai,830.0,Private Equity,"Tpg Growth, The Rise Fund, Others",2018,July
housingman,Consumer Internet,Bangalore,12.45,Other,Unknown,2018,July
paysense,Consumer Internet,Mumbai,149.4,Private Equity,"Payu, Others",2018,July
vtion,Technology,Gurgaon,2.32,Other,"Angellist, Rahul Khanunknown, Rajeev Arora And Ram Ramsundar.",2018,July
log9 materials,Technology,Bangalore,3.62,Other,"Metaform Ventures, Hemant Luthra, Micro Venture Capital Firm Gems Partners And Others",2018,July
kidovators,Edtech,Bangalore,1.49,Other,Gray Matters,2018,July
digit,Consumer Internet,Pune,373.5,Private Equity,Fairfax,2018,July
black soil,Fintech,Mumbai,141.1,Private Equity,"Allcargo Logistics, Navneet Education And Mahavir Agency",2018,July
trell,Consumer Internet,Bangalore,10.38,Other,"Beenext, Weh Ventures And Sprout Ventures",2018,July
iqlect,Technology,Bangalore,20.75,Other,Ventureast And Exfinity,2018,July
entropik,It,Bangalore,9.13,Other,"Bharat Innovation, Idfcunknownparampara Capital, Arthavida Ventures, Jitendra Gupta, Others",2018,July
thecapitalnet,Fintech,Hyderabad,4.15,Private Equity,Lindwall Family Investments Llc (Lfi),2018,July
shuttl,Consumer Internet,Gurgaon,91.3,Private Equity,"Amazon Alexa Fund, Dentsu Ventures",2018,July
cure fit,Consumer Internet,Bangalore,996.0,Private Equity,"Idg Ventures, Accel, Kalaari Capital And Others",2018,July
five star,Fintech,Chennai,830.0,Private Equity,"Tpg, Norwest Venture Partners, Sequoia Capital, Matrix Partners",2018,July
healthsignz,Healthcare,Hyderabad,41.5,Other,Kantilal Patel,2018,July
cointribe,Fintech,Gurgaon,83.0,Private Equity,"Sabre Partners, Puneet Dalmia, Others",2018,June
digiconectt,Technology,Bangalore,1.04,Other,Aspire Logistics Llc,2018,June
annapurna finance,Fintech,Bhubneswar,190.9,Private Equity,Oman India Joint Investment Fund (Oijif),2018,June
meesho,Consumer Internet,Bangalore,95.45,Private Equity,"Sequoia Capital, Saif Partners, Y Combiunknowntor And Venture Highway",2018,June
ayefinance,Fintech,Gurgaon,178.45,Private Equity,"Capitalg, Saif Partners And Lgt Impact Ventures",2018,June
alpha capital,Fintech,Mumbai,122.84,Private Equity,Alpha Capital,2018,June
eshakti,Ecommerce,Chennai,83.83,Private Equity,Paragon Partners,2018,June
daily ninja,Consumer Internet,Bangalore,24.9,Other,Saama Capital And Sequoia Capital,2018,June
nirogstreet,Healthcare,Gurgaon,2.49,Other,"Spiral Ventures, Subho Ray And Samir Kumar",2018,June
nivesh,Fintech,Noida,3.73,Other,"Letsventure, Rajan Aunknownndan, Basab Pradhan, Vivek Khare And Bijoy George",2018,June
homelane,Consumer Internet,Bangalore,28.64,Other,Brand Capital,2018,June
network intelligence,Technology,Mumbai,39.84,Private Equity,Helix Investments,2018,June
tynor othontics,Healthcare,Chandigarh,174.3,Private Equity,"Lighthouse Funds, Thuasne Participations",2018,June
elucidata,It,Delhi Cambridge,14.11,Other,Hyperplane Venture Capital And Several Angel Investors,2018,June
rentsher,Consumer Internet,Bangalore,9.13,Other,"Shorooq Investments, Letsventure, Others",2018,June
drip capital,Fintech,Mumbai,124.5,Private Equity,"Accel, Sequoia India, Y Combiunknowntor And Others.",2018,June
wickedride,Consumer Internet,Bangalore,75.53,Private Equity,"Sequoia Capital, Accel, Raghuunknownndan Gangappa",2018,June
policy bazaar,Consumer Internet,Gurgaon,1660.0,Private Equity,"SoftBank, Info Edge (India) Ltd",2018,June
hipbar,Consumer Internet,Bangalore,33.2,Private Equity,Diageo India,2018,June
sqqrl,Fintech,Gurgaon,8.3,Other,Equanimity Venture Fund,2018,June
paytm,Technology,Noida,74.28,Private Equity,One 97 Communications,2018,June
sigtuple,Healthcare,Bangalore,157.7,Private Equity,"Accel, Idg Venture, Endiya Partners, Pi Ventures, Vh Capital, Axilor Ventures And Binny Bansal",2018,June
wow express,Technology,Mumbai,37.35,Private Equity,Unknown Existing Investors As Well As The Tamarind Family Trust,2018,June
