Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Lupa India,295.48,1,2020-05-17,Media,Unknown,Nan,1.0,1.0,2020-05-17
Smbc Asia Rising Fund,294.65,2,2024-11-14,"B2B Bnpl, Trade Finance",Unspecified Round,"Delhi, Pune",0.62,2.5,2024-11-14
Stakeboat Capital,291.5,2,2025-01-24,"Nutraceutical, Telecommunications","Equity, Series A",Hyderabad,0.67,2.0,2025-01-24
Mumbai Angels Network,290.79,10,2024-09-01,"Edtech, Automotive, Defense","Unknown, Series A, Other","Nan, Delhi, Mumbai",0.76,1.82,2024-09-01
Ranjan Pai’S Family Office,290.5,1,2024-11-23,Home Financing,Other,Mumbai,0.33,3.0,2024-11-23
Sistema Jsfc And Tanncam Investment,290.5,1,2018-09-21,Consumer Internet,Private Equity,Chennai,0.5,2.0,2018-09-21
Disrupt Adq,290.5,1,2021-12-04,Edtech,Series B,Gurgaon,0.5,2.0,2021-12-04
Qic,290.5,1,2021-12-04,Edtech,Series B,Gurgaon,0.5,2.0,2021-12-04
Singularity Growth Opportunities Fund,290.5,1,2021-09-11,Telecommunications,Series C,Bangalore,0.25,4.0,2021-09-11
Fung Strategic Holdings,290.5,1,2018-08-10,Consumer Internet,Private Equity,Bangalore,1.0,1.0,2018-08-10
