Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Google,2129.1,7,2025-02-28,"Fintech, Technology, Spacetech","Unknown, Series A, Private Equity","Bangalore, Gurgaon, Mumbai",0.49,3.14,2025-02-28
Addition,2116.5,3,2022-01-09,"Logistics, Media, Computer Software","Unknown, Series I, Series A","Gurgaon, Noida, Chennai",0.62,1.75,2022-01-09
Crv,2116.5,2,2021-08-24,"Computer Software, Technology","Series D, Private Equity",Bangalore,0.38,3.0,2021-08-24
Morphosis Venture Capital And Winter Capital,2116.5,1,2022-12-19,Information Technology,Series A,Gurgaon,1.0,1.0,2022-12-19
Amazon,2110.69,6,2021-10-16,"Fintech, Online Financial, Consumer Internet","Unknown, Private Equity, Other","Bangalore, Chennai, Mumbai",0.54,2.67,2021-10-16
Hsbc,2083.3,1,2025-03-17,Crossborder Neobank,Series B,Bangalore,0.25,4.0,2025-03-17
Greenoaks Capital Partners,2075.0,1,2017-04-22,Consumer Internet,Private Equity,Gurgaon,0.25,4.0,2017-04-22
Abu Dhabi Growth Fund,2058.4,1,2021-11-03,Automotive,Series E,Gurgaon,0.5,2.0,2021-11-03
Quounknown Capital,2051.76,9,2024-12-18,"Fintech, Agritech, Risk Intelligence","Series B, Private Equity, Series C","Bangalore, Noida, Nan",0.53,3.0,2024-12-18
Co And Fedex,2004.45,1,2022-09-25,Software,Unknown,Chicago,0.5,2.0,2022-09-25
Reliance Retail Ventures Limited,1992.0,1,2022-01-08,Ecommerce,Unknown,Bangalore,1.0,1.0,2022-01-08
Rtp Global And Sofiunknown,1980.38,1,2022-10-14,Agritech,Series E,Nan,1.0,1.0,2022-10-14
Tpg Capital Asia,1942.2,1,2021-03-28,Fintech,Unknown,Chennai,0.5,2.0,2021-03-28
Bain Capital,1935.78,4,2025-09-25,"Real Estate, Technology, Rental","Unknown, Series B","Bangalore, Beijing",0.68,2.25,2025-09-25
Tribe Capital,1929.75,5,2021-12-18,"Logistics, Fintech, Logitech","Series C, Series E, Pre-Series A","Bangalore, Nan, Delhi",0.4,2.67,2021-12-18
Interunknowntiounknownl Fiunknownnce Corporation,1910.66,7,2025-06-26,"Ecommerce, Fintech, Consumer Internet","Private Equity, Unknown, Series B","Mumbai, Bangalore, Noida",0.6,2.71,2025-06-26
Reliance Industries,1909.0,1,2020-01-12,Robotics & Ai,Unknown,Bangalore,1.0,1.0,2020-01-12
The Rise Fund,1886.18,3,2021-06-19,"Consumer Internet, Solar, Ecommerce","Private Equity, Unknown, Pre-Series A","Mumbai, Hyderabad, Jaipur",0.34,3.33,2021-06-19
Capitalg,1879.95,3,2020-12-12,"Fintech, Technology, Edtech","Private Equity, Series C, Series H","Gurgaon, Delhi, Bangalore",0.46,2.25,2020-12-12
Zodius Capital,1877.87,7,2020-01-19,"Other, Consumer Internet, Technology","Private Equity, Series B","Nan, Mumbai, Bangalore",0.37,3.12,2020-01-19
And Sofiunknown,1875.8,1,2019-02-21,Ecommerce,Series D,Nan,0.25,4.0,2019-02-21
Burda Principal Investments,1875.8,1,2019-02-21,Ecommerce,Series D,Nan,0.25,4.0,2019-02-21
Sequoia Capital And Temasek Holdings,1875.8,1,2019-02-21,Ecommerce,Series D,Nan,0.25,4.0,2019-02-21
Lighthouse,1875.34,4,2025-10-24,"Retail, Food & Agriculture > Food, Constructiontech","Unknown, Series A, Unspecified Round","Delhi, Nan, Pune",1.0,1.0,2025-10-24
Ny Based Hedge Fund,1867.5,1,2015-09-27,Cab Rental Mobile,Private Equity,Bangalore,0.25,4.0,2015-09-27
Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,1867.5,1,2018-09-19,B2B,Private Equity,Bangalore,1.0,1.0,2018-09-19
Lightbox,1861.61,8,2022-01-20,"Customer, Delivery, Technology","Unknown, Series A, Series D","Bangalore, Chennai, Noida",0.7,1.67,2022-01-20
Vertex Ventures,1840.82,22,2025-08-24,"Technology, Ecommerce, Healthcare","Private Equity, Series A, Series B","Bangalore, Gurgaon, Pune",0.61,2.22,2025-08-24
Alpha Wave,1834.3,2,2025-02-04,"Multicloud Storage Saas, Fintech",Series A,"Bangalore, Gurgaon",0.5,2.0,2025-02-04
Amour Infrastructure,1826.0,1,2019-11-23,Ecommerce,Seed,Delhi,1.0,1.0,2019-11-23
Pb Fintech,1809.4,1,2025-05-10,Healthcare,Equity,Gurgaon,0.5,2.0,2025-05-10
Elevar Equity,1808.07,9,2025-06-13,"Fintech, Edtech, Hospital & Health Care","Private Equity, Debt, Series C","Bangalore, Mumbai, Gurgaon",0.59,2.45,2025-06-13
Khazaunknownh Nasiounknownl Berhad,1784.5,3,2016-05-12,"Technology, Private Label Fashion Etailer, Online Lingerie",Private Equity,"Mumbai, Gurgaon, Bangalore",0.67,1.67,2016-05-12
Mankekar Family Office,1784.5,2,2021-08-22,"Biotechnology, Healthcare",Series B,"Bangalore, Mumbai",0.42,2.5,2021-08-22
Iifl Asset Maunknowngement,1778.9,5,2021-12-22,"Dairy, Hospital & Health Care, Technology","Series C, Series E, Series A","Nan, Hyderabad, Bangalore",0.6,1.8,2021-12-22
Info Edge (India) Ltd,1748.64,8,2018-07-01,"Consumer Internet, Photographer Online Search & Booking, Ecommerce","Private Equity, Other","Bangalore, Delhi, Mumbai",0.95,1.1,2018-07-01
Base Partners,1747.15,3,2021-02-15,"Gaming, Video, Entertainment","Unknown, Series A, Series B","Bangalore, Mumbai",0.5,2.0,2021-02-15
And Lightspeed Venture Partners,1743.0,1,2024-09-25,Edtech,Series B,Nan,0.33,3.0,2024-09-25
Hornbill Capital,1743.0,1,2024-09-25,Edtech,Series B,Nan,0.33,3.0,2024-09-25
Zodius Technology Fund,1728.89,4,2016-09-02,"Engineering, Consumer Internet, Online Home Dxc3Xa9Cor",Private Equity,"Mumbai, Bangalore",0.52,2.4,2016-09-02
Venturi Partners,1701.5,2,2025-02-23,"Affordable Footwear D2C, Home Interior","Other, Series F","Bahadurgarh, Bangalore",0.62,2.5,2025-02-23
Fundamentum,1701.0,6,2025-07-14,"Fintech, Devotional, Consumer","Series C, Series B, Unknown","Bangalore, Gurgaon, Mumbai",0.25,4.14,2025-07-14
Caunknownan Partners,1699.84,4,2024-12-22,"Ai, Technology, Saas","Private Equity, Series A, Unknown","Pune, San Francisco, Nan",0.74,2.0,2024-12-22
Iifl Fiunknownnce And Interunknowntiounknownl Fiunknownnce Corporation,1668.3,1,2022-04-15,Edtech,Unknown,Mumbai,1.0,1.0,2022-04-15
Invus Opportunities,1660.0,1,2024-09-25,Biketaxi Aggregator,Series E,Bangalore,0.25,4.0,2024-09-25
Global Institutiounknownl Investors,1660.0,1,2017-11-16,Fintech,Private Equity,Mumbai,1.0,1.0,2017-11-16
Verlinvest,1660.0,4,2025-10-18,"Coffee And Bakery, Pet Care, Cosmetics","Series C, Unknown, Series A","Mumbai, Gurgaon, Delhi",0.67,1.8,2025-10-18
Ian Fund And Dsg Consumer Partners,1660.0,1,2019-11-08,Edtech,Unknown,Nan,1.0,1.0,2019-11-08
Iifl Alterunknownte Asset Maunknowngers,1660.0,1,2021-07-18,Fintech,Unknown,Bangalore,0.33,3.0,2021-07-18
Singapore’S Economic Development Board (Ebd),1660.0,1,2020-01-16,Edtech,Series A,Pune,0.33,3.0,2020-01-16
Global Car Group,1660.0,1,2020-11-21,Retail,Series E,Nan,0.5,2.0,2020-11-21
Freemark Holdings,1660.0,1,2020-11-21,Retail,Series E,Nan,0.5,2.0,2020-11-21
Tekne Private Ventures,1660.0,1,2022-01-11,Automotive,Unknown,Bangalore,0.33,3.0,2022-01-11
Jio Platforms,1660.0,1,2022-02-28,Software,Unknown,Bangalore,1.0,1.0,2022-02-28
Ant Fiunknownncials,1660.0,1,2018-02-09,Food,Private Equity,Gurgaon,1.0,1.0,2018-02-09
Ontario Teachers\\Xe2\\X80\\X99 Pension Plan,1660.0,1,2016-02-27,Ecommerce,Private Equity,Delhi,0.5,2.0,2016-02-27
Alpine Opportunity Fund,1660.0,1,2022-01-11,Automotive,Unknown,Bangalore,0.33,3.0,2022-01-11
Kedaara Capital And Wellington Maunknowngement,1660.0,1,2025-05-15,Logistics,Series F,Bangalore,1.0,1.0,2025-05-15
Bertelsmann India,1657.92,6,2025-03-21,"Edtech, Consumer Internet, Ecommerce","Private Equity, Series B, Unknown","Mumbai, Ahmedabad, Bangalore",0.49,3.33,2025-03-21
Routeone,1618.5,1,2021-03-14,Biotechnology,Series B,Bangalore,0.5,2.0,2021-03-14
Sanjay Nayar And Yogesh Mahansaria,1611.86,1,2022-06-02,Fintech,Series B,Mumbai,1.0,1.0,2022-06-02
Multiples Pe,1593.6,1,2021-07-20,Food,Series F,Bangalore,0.5,2.0,2021-07-20
Saama Capital And Matrix Partners India,1577.0,1,2022-10-06,Textile,Series B,Bangalore,1.0,1.0,2022-10-06
Ribbit Capital,1547.95,6,2021-01-05,"Fintech, Cryptocurrency, Online Policy Aggregator","Series C, Private Equity, Unknown","Bangalore, Gurgaon",0.4,2.67,2021-01-05
Sixth Sense Ventures,1541.19,21,2025-07-09,"Food, Consumer Goods, Logistics","Series A, Unknown, Series B","Delhi, Mumbai, Bangalore",0.76,1.55,2025-07-09
Chiratae Ventures,1539.34,28,2025-09-25,"Healthcare, Computer Software, Edtech","Series A, Unknown, Seed","Bangalore, Mumbai, Gurgaon",0.58,2.21,2025-09-25
Potential Ventures And Nb Venture,1521.39,1,2022-06-07,Food,Series C,Bangalore,1.0,1.0,2022-06-07
Abu Dhabi Investment Authority (Adia),1500.0,1,2024-10-16,Beauty & Personal Care,Series F,Mumbai,0.33,3.0,2024-10-16
Ctrip.Com Interunknowntiounknownl Ltd,1494.0,1,2016-01-11,Consumer Internet,Private Equity,Gurgaon,1.0,1.0,2016-01-11
Ingka Group Investments,1494.0,1,2022-02-18,Home Interior,Series F,Bangalore,0.25,4.0,2022-02-18
Peugeot Investments,1494.0,1,2022-02-18,Home Interior,Series F,Bangalore,0.25,4.0,2022-02-18
Teachers’ Venture Growth (Tvg),1494.0,1,2024-12-06,Supplychain Financing,Series E,Mumbai,0.33,3.0,2024-12-06
Zsvc,1460.8,1,2020-01-02,Healthcare,Unknown,Jiaxing,0.5,2.0,2020-01-02
Cowin Venture,1460.8,1,2020-01-02,Healthcare,Unknown,Jiaxing,0.5,2.0,2020-01-02
Incred Wealth,1457.0,1,2024-08-14,Hospitality,Series G,Gurgaon,0.17,6.0,2024-08-14
A Partners,1457.0,1,2024-08-14,Hospitality,Series G,Gurgaon,0.17,6.0,2024-08-14
Ask Fiunknownncial,1457.0,1,2024-08-14,Hospitality,Series G,Gurgaon,0.17,6.0,2024-08-14
Mankind Pharma Promoters' Family Office,1457.0,1,2024-08-14,Hospitality,Series G,Gurgaon,0.17,6.0,2024-08-14
J,1457.0,1,2024-08-14,Hospitality,Series G,Gurgaon,0.17,6.0,2024-08-14
Patient Capital,1457.0,1,2024-08-14,Hospitality,Series G,Gurgaon,0.17,6.0,2024-08-14
Bharti Enterprises,1452.5,1,2016-08-27,Consumer Internet,Private Equity,Delhi,0.2,5.0,2016-08-27
Foxconn Technology Group,1452.5,1,2016-08-27,Consumer Internet,Private Equity,Delhi,0.2,5.0,2016-08-27
Vitruvian Partners,1444.2,3,2022-03-14,"Information Technology &, It And It Consulting, Logistics","Unknown, Series E","Mysore, Noida, Bangalore",0.83,1.33,2022-03-14
Kris Gopalakrishunknownn,1437.89,6,2020-07-28,"Technology, Electric Bike Manufacturers, Digital","Private Equity, Seed, Unknown","Bangalore, Coimbatore, Mumbai",0.37,3.29,2020-07-28
Pitchright Venture And Vijay Sivaram,1432.58,1,2022-07-16,Information&Technology,Unknown,Delhi,1.0,1.0,2022-07-16
Alteria Capital,1430.81,20,2025-07-14,"Ecommerce, Transportation, Consumer Internet","Debt, Unknown, Series A","Bangalore, Gurgaon, Mumbai",0.73,2.0,2025-07-14
Bonnier Ventures,1411.0,1,2020-01-28,Agritech,Series C,Berlin,0.5,2.0,2020-01-28
Rps Ventures,1411.0,2,2020-01-20,Fintech,"Unknown, Series D","Mumbai, Santa Monica",0.75,1.5,2020-01-20
Haunknownco Venture Capital,1411.0,1,2020-01-28,Agritech,Series C,Berlin,0.5,2.0,2020-01-28
Rocketship.Vc,1398.55,4,2024-12-05,"Human Resources, Recruitment, Semiconductor Design","Series B, Unknown, Series A","Bangalore, Chennai",0.41,3.25,2024-12-05
Sistema Asia Fund,1381.44,8,2021-09-11,"Ecommerce, Healthcare, Fintech","Private Equity, Series D, Series C","Bangalore, Ahmedabad, Chennai",0.37,3.27,2021-09-11
Storm Ventures,1377.8,2,2025-02-05,Ai,"Series A, Series C","Gurgaon, San Ramon",0.38,3.0,2025-02-05
Mousse Partners,1372.03,3,2020-06-27,"Online Financial, Food, Music Streaming","Private Equity, Unknown","Mumbai, Chennai",0.33,3.67,2020-06-27
Gmo Payment Gateway,1369.5,3,2024-09-25,"Fintech, Consumer Internet, Rental","Other, Private Equity, Unknown","Palo Alto, Gurgaon, Nan",0.67,1.67,2024-09-25
Yuri Milner,1369.5,3,2018-02-08,"Online Freight Aggregator, Doctor Appointment Booking, Ecommerce",Private Equity,Bangalore,0.28,4.67,2018-02-08
Avataar Venture Partners,1369.0,3,2025-07-04,"Media Andentertainment, Ecommerce, Enterprise","Unknown, Series D, Series C","New York, Pune, Delhi",0.83,1.33,2025-07-04
Proparco And Encourage Capital,1357.05,1,2022-06-14,Fintech,Series A,Bhubaneswar,1.0,1.0,2022-06-14
Macritchie Investments,1344.6,1,2020-01-18,Food Devlivery,Unknown,Nan,0.5,2.0,2020-01-18
Perceptive Advisors,1344.6,2,2021-10-13,Healthcare,"Series C, Series D","Chennai, Nan",0.33,3.0,2021-10-13
The Global Biopharmaceutical Company,1328.0,1,2022-03-24,Venture Capital And Private Equity Principals,Unknown,Delhi,0.5,2.0,2022-03-24
Msd,1328.0,1,2022-03-24,Venture Capital And Private Equity Principals,Unknown,Delhi,0.5,2.0,2022-03-24
Venture Catalysts,1313.64,69,2025-10-26,"Fintech, Healthcare, Ecommerce","Seed, Pre-Series A, Unknown","Mumbai, Delhi, Bangalore",0.64,2.38,2025-10-26
Amansa Capital,1299.85,2,2022-03-04,"Healthcare, Food","Unknown, Series F","Mumbai, Bangalore",0.67,2.0,2022-03-04
Existing Investors,1291.65,7,2024-08-11,"Consumer Internet, Online Lending, Ecommerce","Private Equity, Other, Seed","Bangalore, Chandigarh, Delhi",0.55,2.43,2024-08-11
Zoho,1286.5,2,2021-12-02,"Automotive, Deeptech","Series C, Unknown",Bangalore,0.75,1.5,2021-12-02
Nuveen Investments And British Interunknowntiounknownl Investment,1274.05,1,2022-10-08,Fintech,Unknown,Bangalore,1.0,1.0,2022-10-08
Motilal Oswal Alterunknowntes,1269.9,1,2024-11-24,Healthcare,Unspecified Round,Gurgaon,0.5,2.0,2024-11-24
Fk Myntra Holdings,1269.4,1,2025-05-07,"Ecommerce, Fashion Ecommerce",Unknown,Bangalore,0.75,1.5,2025-05-07
Sands Capital And Interunknowntiounknownl Fiunknownnce Corporation,1245.0,1,2019-05-11,Transport,Series D,Bangalore,0.17,6.0,2019-05-11
Warburg Pincus﻿,1245.0,1,2021-11-10,Information Technology &,Series D,Pune,0.5,2.0,2021-11-10
Lightstreet,1245.0,1,2019-05-11,Transport,Series D,Bangalore,0.17,6.0,2019-05-11
Goldman Sachs Investment Partners And Silicon Valleyunknownbased Accel,1245.0,1,2019-05-11,Transport,Series D,Bangalore,0.17,6.0,2019-05-11
Firstcry,1245.0,1,2021-07-23,D2C Business,Series A,Delhi,0.5,2.0,2021-07-23
Alpine Capital,1245.0,1,2021-03-13,Fintech,"Series C, Seed",Bangalore,0.42,2.5,2021-03-13
Tvs Motor,1245.0,1,2021-12-02,Automotive,Series C,Bangalore,0.5,2.0,2021-12-02
Alpha Wave Venture,1245.0,1,2022-02-17,Information Technology &,Unknown,Noida,1.0,1.0,2022-02-17
Alliance Ventures,1245.0,1,2020-10-01,Ai,Series C,San Ramon,0.5,2.0,2020-10-01
Abraaj Group,1245.0,1,2016-03-15,Ecommerce,Private Equity,Bangalore,1.0,1.0,2016-03-15
Wellington,1245.0,1,2019-05-11,Transport,Series D,Bangalore,0.17,6.0,2019-05-11
Tpg’S The Rise Fund,1245.0,1,2024-10-01,Edtech,Series F,Nan,1.0,1.0,2024-10-01
Axis Growth Avenues Aif,1245.0,1,2022-03-04,Food,Series F,Bangalore,0.33,3.0,2022-03-04
Investment Ab Kinnevik,1245.0,1,2015-04-01,Online Classifieds,Private Equity,Mumbai,0.33,3.0,2015-04-01
Kotak Pe,1245.0,1,2022-03-04,Food,Series F,Bangalore,0.33,3.0,2022-03-04
Unilazer Ventures,1233.38,6,2021-09-23,"Consumer Internet, Edtech, Hyperlocal Maintenance Repair & Cleaning","Private Equity, Unknown","Mumbai, Noida, Bangalore",0.76,1.57,2021-09-23
Little Black Book,1232.55,1,2022-08-25,Beauty,Unknown,Mumbai,1.0,1.0,2022-08-25
Paragon Partners,1229.23,7,2022-03-01,"Fintech, Ecommerce, Logistics","Private Equity, Series B, Series C","Chennai, Mumbai, Gurgaon",0.71,1.57,2022-03-01
Leapfrog Investments,1220.1,4,2024-10-19,"Healthcare, Financial Inclusion, Fintech","Private Equity, Unspecified Round, Series D","Bangalore, Chennai, Mumbai",0.54,2.25,2024-10-19
Zomato,1203.5,1,2021-12-23,Healthcare,Unknown,Bangalore,1.0,1.0,2021-12-23
Mithril Capital Maunknowngement.,1203.5,1,2020-12-17,Ai,Unknown,Bangalore,1.0,1.0,2020-12-17
Google Capital,1203.5,3,2015-08-12,"Other, Online / Mobile Customer Support, Doctor Appointment Booking",Private Equity,"Nan, Chennai, Bangalore",0.49,3.67,2015-08-12
Exfinity Venture Partners,1190.22,12,2025-07-12,"Technology, Saas, Ai","Private Equity, Pre-Series A, Unknown","Bangalore, Mumbai, Hyderabad",0.71,1.93,2025-07-12
Saama Capital,1189.8,17,2025-04-02,"Consumer Internet, Ecommerce, Restaurant Reservation","Private Equity, Seed, Series A","Gurgaon, Bangalore, Ahmedabad",0.44,2.74,2025-04-02
Mumbai Angels And Ecosystem Ventures,1187.73,1,2022-05-08,Edtech,Unknown,Mumbai,1.0,1.0,2022-05-08
Brunei Investment Agency And Endiya Partners,1182.75,1,2022-06-21,Sales Automation,Unknown,Mumbai,1.0,1.0,2022-06-21
Equanimity Ventures,1179.45,3,2025-01-04,"Healthcare, Agtech, Cosmetics","Unspecified Round, Seed, Pre-Series A","Noida, Mumbai, Ahmedabad",0.67,1.67,2025-01-04
9Unicorns,1171.43,25,2025-04-16,"Fintech, Ai, Visual Telematics","Unknown, Seed, Series A","Bangalore, Mumbai, Delhi",0.43,2.85,2025-04-16
Azim Premji,1162.0,1,2019-08-25,Fintech,Other,Mumbai,0.5,2.0,2019-08-25
Ping An Global Voyager Fund,1162.0,1,2020-01-13,"Ecommerce, Automobile",Series D,"Gurgaon, Jaipur",0.67,2.0,2020-01-13
Partners Group And Kkr,1162.0,1,2025-03-15,Hr Technology,Other,Mumbai,1.0,1.0,2025-03-15
Kuunknownl Shah And Prosus Ventures,1162.0,1,2022-12-22,Product Design,Series A,Bangalore,1.0,1.0,2022-12-22
Life Healthcare,1162.0,1,2021-03-27,Healthcare,Unknown,Delhi,0.5,2.0,2021-03-27
Radiant Life Care Private Ltd,1162.0,1,2021-03-27,Healthcare,Unknown,Delhi,0.5,2.0,2021-03-27
Harmony Partners,1162.0,2,2017-11-15,"Consumer Internet, Technology",Private Equity,Bangalore,0.28,4.0,2017-11-15
Morgan Stanley,1160.34,4,2025-07-18,"Ecommerce, Telecommuncation, Fintech","Unknown, Private Equity, Debt","Bangalore, Mumbai, Hyderabad",0.88,1.25,2025-07-18
Valuequest Scale Fund,1147.4,2,2025-04-06,"Solar, Digital Payments Fintech","Unknown, Unspecified Round","Kolkata, Bangalore",0.75,1.5,2025-04-06
Iifl Amc,1132.95,5,2021-09-14,"Telecommunications, Interior Design, Consumer Electronics","Series C, Series E, Unknown","Bangalore, Mumbai, Delhi",0.62,2.2,2021-09-14
Alpha Wave Ventures,1120.5,1,2021-11-25,D2C,Series B,Bangalore,0.5,2.0,2021-11-25
Multiples Alterunknownte Asset Maunknowngement,1120.5,2,2025-02-01,"Ecommerce, B2B Crossborder Ecommerce","Private Equity, Series C",Gurgaon,0.25,4.0,2025-02-01
And Norwest Venture Partners,1120.5,1,2024-10-06,Fintech,Series E,Jaipur,0.25,4.0,2024-10-06
Madison India Capital﻿,1120.5,1,2024-10-06,Fintech,Series E,Jaipur,0.25,4.0,2024-10-06
Sutter Hill Ventures,1120.5,1,2019-11-27,Saas,Series C,San Jose,0.5,2.0,2019-11-27
Avataar Venture Partners﻿,1120.5,1,2024-10-06,Fintech,Series E,Jaipur,0.25,4.0,2024-10-06
Sofiunknown﻿,1120.5,1,2024-10-06,Fintech,Series E,Jaipur,0.25,4.0,2024-10-06
Fundraising For Climate And Sustaiunknownbility Tech Startups,1120.5,1,2024-10-12,Climate & Sustainability,Other,Mumbai,1.0,1.0,2024-10-12
Evolvence India,1112.8,5,2025-01-23,"Logistics, Banking, Home Interior","Series C, Unspecified Round, Unknown","Mumbai, Bangalore, Nan",0.37,3.0,2025-01-23
Dsg Consumer Partners,1107.7,24,2025-06-18,"Ecommerce, Food, Consumer Goods","Private Equity, Series A, Seed","Delhi, Mumbai, Gurgaon",0.47,2.96,2025-06-18
Tpg,1103.9,2,2020-01-10,"Banking, Fintech","Unknown, Private Equity","Nan, Chennai",0.29,3.5,2020-01-10
Orios Venture Partners,1103.57,19,2024-12-21,"Ecommerce, Fintech, Physical Storage Warehouses","Private Equity, Seed, Pre-Series A","Mumbai, Bangalore, Delhi",0.48,2.4,2024-12-21
Healthquad,1102.24,5,2024-09-15,"Healthcare, Medical Equipment Manufacturing, Diagnostics Healthcare","Series B, Unknown, Series C","Hyderabad, Mumbai, Nan",0.36,3.2,2024-09-15
Reliance,1095.6,1,2022-01-23,Industrial Automation,Unknown,Noida,1.0,1.0,2022-01-23
Trinity Ventures,1087.3,2,2022-03-23,"Other, Software Development","Private Equity, Series D","Nan, Bangalore",0.29,3.5,2022-03-23
Accel Leaders Fund,1087.3,1,2025-04-18,Usedcar Sales,Unspecified Round,Gurgaon,1.0,1.0,2025-04-18
Tpg Growth And Norwest Venture Partners,1081.49,1,2022-08-13,Fintech,Series D,Pune,1.0,1.0,2022-08-13
Tybourne Capital,1079.0,2,2015-02-18,Other,Private Equity,Nan,0.38,3.0,2015-02-18
Rb Investments,1073.19,12,2018-11-06,"Consumer Internet, Ecommerce, Food","Private Equity, Other, Seed","Bangalore, Mumbai, Gurgaon",0.43,2.83,2018-11-06
Omnivore,1071.87,16,2025-05-10,"Agritech, Information Technology, Farming","Series A, Seed, Unknown","Bangalore, Mumbai, Chennai",0.43,3.06,2025-05-10
India Quotient,1062.29,25,2024-12-10,"Consumer Internet, Ai, Other","Private Equity, Seed, Series A","Mumbai, Bangalore, Nan",0.55,2.34,2024-12-10
3One4 Capital,1058.91,16,2025-09-11,"Ecommerce, Media, Semiconductors","Series A, Seed, Series B","Bangalore, Mumbai, Hyderabad",0.45,2.71,2025-09-11
Hercules Capital,1045.8,2,2020-11-04,"Technology, Edtech","Private Equity, Debt","Pune, Nan",0.38,3.0,2020-11-04
Lee Fixel’S Venture Capital Firm,1037.5,1,2021-09-23,Logistics,Unknown,Gurgaon,0.5,2.0,2021-09-23
Ta Associates,1037.5,2,2015-03-19,Other,Private Equity,Nan,1.0,1.0,2015-03-19
Norfund,1037.5,1,2021-06-19,Solar,Unknown,Hyderabad,0.5,2.0,2021-06-19
Kohlberg Kravis Roberts And Dick Costolo,1037.5,1,2022-04-22,Food,Series D,New York,1.0,1.0,2022-04-22
Lightbox Ventures,1030.86,7,2020-07-17,"Ecommerce, Other, Used Vehicle","Private Equity, Unknown, Other","Nan, Chennai, Bangalore",0.85,1.38,2020-07-17
Lightspeed Ventures,1025.05,5,2025-09-04,"Edtech, Ethnic Product Ecommerce, Ai","Private Equity, Series A","Mumbai, Bangalore, Gurgaon",0.46,3.0,2025-09-04
Nxc Corporation,1020.9,1,2020-04-02,Fintech,Unknown,Delhi,1.0,1.0,2020-04-02
Avataar Ventures,1012.6,4,2025-10-08,"Saas, Consumer > Road Transport, Cloudbased Testing","Unknown, Series B, Unspecified Round","Bangalore, Nan, San Francisco",0.75,1.5,2025-10-08
Sequoia Capital India And Unitus Ventures,1008.45,1,2022-06-08,Edtech,Unknown,Bangalore,1.0,1.0,2022-06-08
Rocket Internet Ag,1004.3,2,2016-02-10,"Consumer Internet, Other",Private Equity,"Gurgaon, Nan",0.32,4.5,2016-02-10
