Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
liquide,18.26,18.26,1,Trading,Bangalore,Seed,2022,Ruchi Kalra And Sandeep Singh,2022
onato,18.26,18.26,1,Computer Software,Bangalore,Unknown,2021,"Vertex Ventures, Omnivore",2021
traya,18.26,18.26,1,Healthcare,Mumbai,Pre-Series A,2022,Fireside Ventures,2022
redeminds,18.26,18.26,1,Edtech,Bangalore,Unknown,2022,Surfboard Ventures And Nishant Patel,2022
maya,18.26,18.26,1,Healthcare,Bangalore,Seed,2021,Rajan Aunknowndan,2021
leumas,18.26,18.26,1,Deeptech,Bangalore,Seed,2025,Capital 2B,2025
moonrider,18.26,18.26,1,Electric Tractor,Bangalore,Seed,2025,"Advantedge Founders, Micelio Technology Fund, Angel Investors",2025
happylocate,18.259999999999998,14.11,2,SaaS,Bangalore,"Pre-Series A, Unknown","2020, 2022","The Cowrks Foundry, Vm Ventures And Rmz Corp",2022
yummy bee,18.0,18.0,1,Café,Hyderabad,Other,2025,Mile Deep Capital,2025
biryani by kilo,17.97,8.3,3,Consumer Internet,Gurgaon,"Other, Seed, Series B","2017, 2018, 2020","Ajay Relan And Viunknowny Mittal, Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh, Others, Devanshu Dolat Desai, Aunknownnd M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",2020
almabetter,17.93,17.93,1,Educaton,Bangalore,Seed,2022,Varun Alagh And Rajesh Yabaji,2022
bigstylist,17.85,10.38,2,Consumer Internet,Mumbai,Private Equity,"2016, 2017",Info Edge (India) Ltd,2017
esportsxo,17.43,9.13,2,Mobile Games,Bangalore,Seed,"2021, 2022","We Founder Circle, We Founder Circle, Wami Capital, Sucseed Indovation Fund",2022
squadrun,17.43,17.43,1,Technology,Noida,Private Equity,2017,"Blume Ventures, Contrarian Capital, 91Springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",2017
wellthy,17.43,17.43,1,Healthcare,Mumbai,Private Equity,2018,"Ranjan Pai, Apoorva Patni, Beenext Ventures, Growx Ventures",2018
