Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Daily Ninja,Consumer Internet,Bengaluru,"30,00,000",Seed/ Angel Funding,Saama Capital and Sequoia Capital,2018,June
NirogStreet,Healthcare,Gurugram,"3,000,00",Seed/ Angel Funding,"Spiral Ventures, Subho Ray and Samir Kumar",2018,June
Nivesh,Finance,Noida,"4,50,000",Seed/ Angel Funding,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",2018,June
What\\xe2\\x80\\x99s Up Life,Consumer Internet,Gurugram,,Seed/ Angel Funding,Rannvijay Singha,2018,June
HomeLane,Consumer Internet,Bengaluru,"34,50,000",Seed/ Angel Funding,Brand Capital,2018,June
Network Intelligence,Technology,Mumbai,"48,00,000",Private Equity,Helix Investments,2018,June
Tynor Othontics,Healthcare,Chandigarh,"2,10,00,000",Private Equity,Lighthouse Funds & Thuasne Participations,2018,June
Elucidata,IT,Delhi & Cambridge,"17,00,000",Seed/ Angel Funding,Hyperplane Venture Capital and several angel investors,2018,June
Chrysalis,Ed-Tech,Pune,,Seed/ Angel Funding,Menterra Venture & Artha Initiatives,2018,June
RentSher,Consumer Internet,Bengaluru,"11,00,000",Seed/ Angel Funding,"Shorooq Investments, LetsVenture & Others",2018,June
Drip capital,Finance,Mumbai,"1,50,00,000",Private Equity,"Accel Partners, Sequoia India, Y Combinator and others.",2018,June
WickedRide,Consumer Internet,Bengaluru,"91,00,000",Private Equity,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",2018,June
